channel,K,recall,n_found,n_attack
sequence,1,0.0,0,6
sequence,3,0.0,0,6
sequence,5,0.0,0,6
sequence,10,0.0,0,6
sequence,15,0.0,0,6
sequence,20,0.0,0,6
frequency,1,0.0,0,6
frequency,3,0.0,0,6
frequency,5,0.0,0,6
frequency,10,0.0,0,6
frequency,15,0.0,0,6
frequency,20,0.0,0,6
context,1,0.0,0,6
context,3,0.0,0,6
context,5,0.0,0,6
context,10,0.0,0,6
context,15,0.0,0,6
context,20,0.0,0,6
drift,1,0.0,0,6
drift,3,0.0,0,6
drift,5,0.0,0,6
drift,10,0.0,0,6
drift,15,0.0,0,6
drift,20,0.0,0,6
fused,1,0.0,0,6
fused,3,0.0,0,6
fused,5,0.0,0,6
fused,10,0.0,0,6
fused,15,0.0,0,6
fused,20,0.0,0,6
