condition,K,recall,fpr,n_found,n_attack
with_gate,1.0,0.0,0.16666666666666666,0.0,6.0
with_gate,3.0,0.0,0.16666666666666666,0.0,6.0
with_gate,5.0,0.0,0.16666666666666666,0.0,6.0
with_gate,10.0,0.0,0.16666666666666666,0.0,6.0
with_gate,20.0,0.0,0.16666666666666666,0.0,6.0
no_gate,1.0,0.0,0.6666666666666666,0.0,6.0
no_gate,3.0,0.0,0.6666666666666666,0.0,6.0
no_gate,5.0,0.0,0.6666666666666666,0.0,6.0
no_gate,10.0,0.0,0.6666666666666666,0.0,6.0
no_gate,20.0,0.0,0.6666666666666666,0.0,6.0
