channel,K,recall,n_found,n_attack
sequence,1,0.0,0,10
sequence,3,0.0,0,10
sequence,5,0.0,0,10
sequence,10,0.0,0,10
sequence,15,0.0,0,10
sequence,20,0.0,0,10
frequency,1,0.0,0,10
frequency,3,0.0,0,10
frequency,5,0.0,0,10
frequency,10,0.0,0,10
frequency,15,0.0,0,10
frequency,20,0.0,0,10
context,1,0.0,0,10
context,3,0.0,0,10
context,5,0.0,0,10
context,10,0.0,0,10
context,15,0.0,0,10
context,20,0.0,0,10
drift,1,0.0,0,10
drift,3,0.0,0,10
drift,5,0.0,0,10
drift,10,0.0,0,10
drift,15,0.0,0,10
drift,20,0.0,0,10
fused,1,0.0,0,10
fused,3,0.0,0,10
fused,5,0.0,0,10
fused,10,0.0,0,10
fused,15,0.0,0,10
fused,20,0.0,0,10
