condition,K,recall,fpr,n_found,n_attack
with_gate,1.0,0.08333333333333333,0.07894736842105263,1.0,12.0
with_gate,3.0,0.25,0.07894736842105263,3.0,12.0
with_gate,5.0,0.4166666666666667,0.07894736842105263,5.0,12.0
with_gate,10.0,0.8333333333333334,0.07894736842105263,10.0,12.0
with_gate,20.0,1.0,0.07894736842105263,12.0,12.0
no_gate,1.0,0.08333333333333333,0.3684210526315789,1.0,12.0
no_gate,3.0,0.25,0.3684210526315789,3.0,12.0
no_gate,5.0,0.4166666666666667,0.3684210526315789,5.0,12.0
no_gate,10.0,0.8333333333333334,0.3684210526315789,10.0,12.0
no_gate,20.0,1.0,0.3684210526315789,12.0,12.0
