UtcTime,Computer,EventID,Image,CommandLine,User
2026-02-15T00:00:00+00:00,HOST01,4688,C:\Windows\System32\svchost.exe,,DOMAIN\user1
2026-02-15T00:00:00+00:00,HOST01,3,C:\Windows\System32\lsass.exe,,DOMAIN\user1
2026-02-15T00:00:00+00:00,HOST01,11,C:\Windows\System32\lsass.exe,,DOMAIN\user5
2026-02-15T00:01:00+00:00,HOST01,4624,C:\Windows\System32\svchost.exe,,DOMAIN\user3
2026-02-15T00:01:00+00:00,HOST01,22,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,DOMAIN\user3
2026-02-15T00:01:00+00:00,HOST01,11,C:\Windows\System32\rundll32.exe,,DOMAIN\user1
2026-02-15T00:01:00+00:00,HOST01,4688,C:\Windows\System32\rundll32.exe,,DOMAIN\user3
2026-02-15T00:01:00+00:00,HOST01,4625,C:\Windows\System32\svchost.exe,,DOMAIN\user4
2026-02-15T00:01:00+00:00,HOST01,12,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,DOMAIN\user2
2026-02-15T00:02:00+00:00,HOST01,4625,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,DOMAIN\user3
2026-02-15T00:02:00+00:00,HOST01,5,C:\Windows\System32\lsass.exe,,DOMAIN\user3
2026-02-15T00:02:00+00:00,HOST01,22,C:\Windows\System32\lsass.exe,,DOMAIN\user5
2026-02-15T00:02:00+00:00,HOST01,4625,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,DOMAIN\user3
2026-02-15T00:02:00+00:00,HOST01,13,C:\Program Files\Google\Chrome\Application\chrome.exe,,DOMAIN\user3
2026-02-15T00:02:00+00:00,HOST01,23,C:\Windows\System32\rundll32.exe,,DOMAIN\user2
2026-02-15T00:02:00+00:00,HOST01,1,C:\Windows\System32\lsass.exe,,DOMAIN\user3
2026-02-15T00:03:00+00:00,HOST01,12,C:\Windows\System32\lsass.exe,,DOMAIN\user3
2026-02-15T00:03:00+00:00,HOST01,23,C:\Windows\System32\cmd.exe,,DOMAIN\user5
2026-02-15T00:03:00+00:00,HOST01,4625,C:\Windows\System32\cmd.exe,,DOMAIN\user3
2026-02-15T00:03:00+00:00,HOST01,10,C:\Windows\System32\rundll32.exe,,DOMAIN\user1
2026-02-15T00:03:00+00:00,HOST01,4625,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,DOMAIN\user3
2026-02-15T00:03:00+00:00,HOST01,1,C:\Windows\System32\rundll32.exe,,DOMAIN\user4
2026-02-15T00:04:00+00:00,HOST01,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,DOMAIN\user4
2026-02-15T00:04:00+00:00,HOST01,13,C:\Windows\System32\cmd.exe,,DOMAIN\user5
2026-02-15T00:04:00+00:00,HOST01,4688,C:\Windows\System32\svchost.exe,,DOMAIN\user1
2026-02-15T00:05:00+00:00,HOST01,12,C:\Windows\System32\lsass.exe,,DOMAIN\user5
2026-02-15T00:05:00+00:00,HOST01,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,DOMAIN\user4
2026-02-15T00:06:00+00:00,HOST01,4625,C:\Windows\System32\cmd.exe,,DOMAIN\user4
2026-02-15T00:06:00+00:00,HOST01,11,C:\Program Files\Google\Chrome\Application\chrome.exe,,DOMAIN\user4
2026-02-15T00:06:00+00:00,HOST01,11,C:\Windows\System32\cmd.exe,,DOMAIN\user2
2026-02-15T00:06:00+00:00,HOST01,24,C:\Windows\System32\rundll32.exe,,DOMAIN\user4
2026-02-15T00:06:00+00:00,HOST01,4625,C:\Windows\System32\cmd.exe,,DOMAIN\user2
2026-02-15T00:06:00+00:00,HOST01,3,C:\Windows\System32\lsass.exe,,DOMAIN\user2
2026-02-15T00:06:00+00:00,HOST01,4624,C:\Windows\System32\rundll32.exe,,DOMAIN\user1
2026-02-15T00:06:00+00:00,HOST01,4688,C:\Windows\System32\cmd.exe,,DOMAIN\user1
2026-02-15T00:06:00+00:00,HOST01,10,C:\Windows\System32\svchost.exe,,DOMAIN\user2
2026-02-15T00:06:00+00:00,HOST01,4624,C:\Windows\System32\cmd.exe,,DOMAIN\user4
2026-02-15T00:06:00+00:00,HOST01,10,C:\Windows\System32\cmd.exe,,DOMAIN\user5
2026-02-15T00:07:00+00:00,HOST01,10,C:\Windows\System32\rundll32.exe,,DOMAIN\user5
2026-02-15T00:07:00+00:00,HOST01,11,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,DOMAIN\user5
2026-02-15T00:07:00+00:00,HOST01,4624,C:\Windows\System32\svchost.exe,,DOMAIN\user1
2026-02-15T00:07:00+00:00,HOST01,12,C:\Windows\System32\rundll32.exe,,DOMAIN\user5
2026-02-15T00:08:00+00:00,HOST01,11,C:\Windows\System32\rundll32.exe,,DOMAIN\user5
2026-02-15T00:08:00+00:00,HOST01,5,C:\Windows\System32\svchost.exe,,DOMAIN\user1
2026-02-15T00:08:00+00:00,HOST01,1,C:\Windows\System32\rundll32.exe,,DOMAIN\user4
2026-02-15T00:08:00+00:00,HOST01,12,C:\Program Files\Google\Chrome\Application\chrome.exe,,DOMAIN\user2
2026-02-15T00:08:00+00:00,HOST01,26,C:\Windows\System32\rundll32.exe,,DOMAIN\user3
2026-02-15T00:08:00+00:00,HOST01,10,C:\Windows\System32\rundll32.exe,,DOMAIN\user4
2026-02-15T00:08:00+00:00,HOST01,12,C:\Program Files\Google\Chrome\Application\chrome.exe,,DOMAIN\user1
2026-02-15T00:08:00+00:00,HOST01,4688,C:\Windows\System32\rundll32.exe,,DOMAIN\user5
2026-02-15T00:09:00+00:00,HOST01,1,C:\Windows\System32\lsass.exe,,DOMAIN\user1
2026-02-15T00:09:00+00:00,HOST01,13,C:\Program Files\Google\Chrome\Application\chrome.exe,,DOMAIN\user5
2026-02-15T00:09:00+00:00,HOST01,12,C:\Windows\System32\rundll32.exe,,DOMAIN\user4
